# lemma	features	resolution	note
# resolution: variant | o1 (apertium-mkd) | o2 (UniMorph mkd) | neither.
# Bucketed rulings; see docs/mkd/oracles.md for the systematic patterns.
образува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
објавува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
објаснува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
овозможува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
ограничува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
одбележува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
одбива	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
одбие	V;PROG;PST;3;PL	o2	j-stem: UniMorph correct (бројам-type), apertium over-regularizes
одбројува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
одгледува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
одговара	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
оддалечува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
оди	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
одложува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
одлучува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
одмрзнува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
однесе	V.PTCP;PST;FEM;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
однесе	V.PTCP;PST;MASC;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
однесе	V.PTCP;PST;NEUT;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
однесе	V.PTCP;PST;PL	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
одобрува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
одолговлекува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
одразува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
одредува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
одрекува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
одрече	V.PTCP;PROG;PST;FEM;SG	o1	apertium form is the standard spelling
одрече	V.PTCP;PROG;PST;MASC;SG	o1	apertium form is the standard spelling
одрече	V.PTCP;PROG;PST;NEUT;SG	o1	apertium form is the standard spelling
одрече	V.PTCP;PROG;PST;PL	o1	apertium form is the standard spelling
одрече	V.PTCP;PST;MASC;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
одрече	V;PROG;PST;1;PL	o1	apertium form is the standard spelling
одрече	V;PROG;PST;1;SG	o1	apertium form is the standard spelling
одрече	V;PROG;PST;2;PL	o1	apertium form is the standard spelling
одрече	V;PROG;PST;2;SG	o1	apertium form is the standard spelling
одрече	V;PROG;PST;3;PL	o1	apertium form is the standard spelling
одрече	V;PROG;PST;3;SG	o1	apertium form is the standard spelling
оздравува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
означува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
олеснува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
оневозможува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
опишува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
опкружува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
опкружува	V.PTCP;PROG;PST;FEM;SG	o1	apertium form is the standard spelling
опкружува	V.PTCP;PROG;PST;MASC;SG	o1	apertium form is the standard spelling
опкружува	V.PTCP;PROG;PST;NEUT;SG	o1	apertium form is the standard spelling
опкружува	V.PTCP;PROG;PST;PL	o1	apertium form is the standard spelling
опкружува	V.PTCP;PST;PASS	variant	passive participle -ан/-ен both attested
опкружува	V;IMP;2;PL	o1	apertium form is the standard spelling
опкружува	V;IMP;2;SG	o1	apertium form is the standard spelling
опкружува	V;PROG;PST;1;PL	o1	apertium form is the standard spelling
опкружува	V;PROG;PST;1;SG	o1	apertium form is the standard spelling
опкружува	V;PROG;PST;2;PL	o1	apertium form is the standard spelling
опкружува	V;PROG;PST;2;SG	o1	apertium form is the standard spelling
опкружува	V;PROG;PST;3;PL	o1	apertium form is the standard spelling
опкружува	V;PROG;PST;3;SG	o1	apertium form is the standard spelling
опкружува	V;PRS;1;PL	o1	apertium form is the standard spelling
опкружува	V;PRS;1;SG	o1	apertium form is the standard spelling
опкружува	V;PRS;2;PL	o1	apertium form is the standard spelling
опкружува	V;PRS;2;SG	o1	apertium form is the standard spelling
опкружува	V;PRS;3;PL	o1	apertium form is the standard spelling
опкружува	V;PRS;3;SG	o1	apertium form is the standard spelling
оправдува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
определува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
освестува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
освојува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
ослободува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
осознае	V;PROG;PST;3;PL	o2	j-stem: UniMorph correct (бројам-type), apertium over-regularizes
оспорува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
оспособува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
остава	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
останува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
остварува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
осудува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
отвора	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
отежнува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
отиде	V.PTCP;PST;MASC;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
откажува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
открива	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
открие	V;PROG;PST;3;PL	o2	j-stem: UniMorph correct (бројам-type), apertium over-regularizes
отстапува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
отстранува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
отфрла	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
охрабрува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
очекува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
патува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
пее	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
пере	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
пие	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
пие	V;PROG;PST;3;PL	o2	j-stem: UniMorph correct (бројам-type), apertium over-regularizes
пишува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
планира	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
плаши	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
плива	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
плука	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
победува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
поверува	V;PST;2;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
поверува	V;PST;3;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
повлекува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
повлече	V.PTCP;PROG;PST;FEM;SG	o1	apertium form is the standard spelling
повлече	V.PTCP;PROG;PST;MASC;SG	o1	apertium form is the standard spelling
повлече	V.PTCP;PROG;PST;NEUT;SG	o1	apertium form is the standard spelling
повлече	V.PTCP;PROG;PST;PL	o1	apertium form is the standard spelling
повлече	V.PTCP;PST;MASC;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
повлече	V;PROG;PST;1;PL	o1	apertium form is the standard spelling
повлече	V;PROG;PST;1;SG	o1	apertium form is the standard spelling
повлече	V;PROG;PST;2;PL	o1	apertium form is the standard spelling
повлече	V;PROG;PST;2;SG	o1	apertium form is the standard spelling
повлече	V;PROG;PST;3;PL	o1	apertium form is the standard spelling
повлече	V;PROG;PST;3;SG	o1	apertium form is the standard spelling
повредува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
поврзува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
повторува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
погубува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
подава	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
подвлекува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
подготвува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
поддржува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
подмладува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
поднесува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
подобрува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
подредува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
подржи	V.PTCP;PST;FEM;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
подржи	V.PTCP;PST;MASC;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
подржи	V.PTCP;PST;NEUT;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
подржи	V.PTCP;PST;PASS	variant	passive participle -ан/-ен both attested
подржи	V.PTCP;PST;PL	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
подржи	V;PST;1;PL	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
подржи	V;PST;1;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
подржи	V;PST;2;PL	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
подржи	V;PST;2;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
подржи	V;PST;3;PL	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
подржи	V;PST;3;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
подучува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
поедноставува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
позајмува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
поздравува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
познае	V;PROG;PST;3;PL	o2	j-stem: UniMorph correct (бројам-type), apertium over-regularizes
покажува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
покачува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
поклопува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
покрива	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
покрие	V;PROG;PST;3;PL	o2	j-stem: UniMorph correct (бројам-type), apertium over-regularizes
помага	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
помилува	V;PST;2;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
помилува	V;PST;3;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
понижува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
поништи	V.PTCP;PST;FEM;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
поништи	V.PTCP;PST;MASC;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
поништи	V.PTCP;PST;NEUT;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
поништи	V.PTCP;PST;PL	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
поништи	V;PST;1;PL	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
поништи	V;PST;1;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
поништи	V;PST;2;PL	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
поништи	V;PST;2;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
поништи	V;PST;3;PL	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
поништи	V;PST;3;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
поништува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
попречува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
поразува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
посвојува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
поседува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
посее	V.PTCP;PST;PASS	variant	passive participle -ан/-ен both attested
посее	V;PST;1;PL	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
посее	V;PST;1;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
посее	V;PST;2;PL	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
посее	V;PST;2;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
посее	V;PST;3;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
посетува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
посоветува	V;PST;2;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
посоветува	V;PST;3;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
поставува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
постои	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
постои	V;PROG;PST;3;PL	o2	j-stem: UniMorph correct (бројам-type), apertium over-regularizes
постои	V;PRS;1;SG	o2	j-stem: UniMorph correct (бројам-type), apertium over-regularizes
потврдува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
потекнува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
поткопа	V;PST;2;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
поткопа	V;PST;3;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
потпишува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
потрае	V.PTCP;PST;FEM;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
потрае	V.PTCP;PST;MASC;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
потрае	V.PTCP;PST;NEUT;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
потрае	V.PTCP;PST;PL	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
потрае	V;PST;1;PL	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
потрае	V;PST;1;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
потрае	V;PST;2;PL	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
потрае	V;PST;2;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
потрае	V;PST;3;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
потсетува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
поттикнува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
потценува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
починува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
почитува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
почнува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
почувствува	V;PST;2;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
почувствува	V;PST;3;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
појаснува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
прави	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
празнува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
практикува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
прашува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
преведува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
предава	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
предвиди	V;PST;1;PL	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
предвиди	V;PST;1;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
предвиди	V;PST;2;PL	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
предвиди	V;PST;3;PL	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
предвидува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
предизвикува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
преживее	V.PTCP;PST;PASS	variant	passive participle -ан/-ен both attested
преживее	V;PST;1;PL	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
преживее	V;PST;1;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
преживее	V;PST;2;PL	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
преживее	V;PST;2;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
преживее	V;PST;3;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
преживува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
презема	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
преиспитува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
прекинува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
прекорува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
прекршува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
преминува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
пренесе	V.PTCP;PST;FEM;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
пренесе	V.PTCP;PST;MASC;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
пренесе	V.PTCP;PST;NEUT;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
пренесе	V.PTCP;PST;PL	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
пренесува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
препознае	V;PROG;PST;3;PL	o2	j-stem: UniMorph correct (бројам-type), apertium over-regularizes
препорачува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
прераскажува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
пресече	V.PTCP;PROG;PST;FEM;SG	o1	apertium form is the standard spelling
пресече	V.PTCP;PROG;PST;MASC;SG	o1	apertium form is the standard spelling
пресече	V.PTCP;PROG;PST;NEUT;SG	o1	apertium form is the standard spelling
пресече	V.PTCP;PROG;PST;PL	o1	apertium form is the standard spelling
пресече	V.PTCP;PST;MASC;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
пресече	V;PROG;PST;1;PL	o1	apertium form is the standard spelling
пресече	V;PROG;PST;1;SG	o1	apertium form is the standard spelling
пресече	V;PROG;PST;2;PL	o1	apertium form is the standard spelling
пресече	V;PROG;PST;2;SG	o1	apertium form is the standard spelling
пресече	V;PROG;PST;3;PL	o1	apertium form is the standard spelling
пресече	V;PROG;PST;3;SG	o1	apertium form is the standard spelling
пресмета	V;PST;2;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
пресмета	V;PST;3;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
претпоставува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
претставува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
преувеличува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
приближува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
привлекува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
привлече	V.PTCP;PROG;PST;FEM;SG	o1	apertium form is the standard spelling
привлече	V.PTCP;PROG;PST;MASC;SG	o1	apertium form is the standard spelling
привлече	V.PTCP;PROG;PST;NEUT;SG	o1	apertium form is the standard spelling
привлече	V.PTCP;PROG;PST;PL	o1	apertium form is the standard spelling
привлече	V.PTCP;PST;MASC;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
привлече	V;PROG;PST;1;PL	o1	apertium form is the standard spelling
привлече	V;PROG;PST;1;SG	o1	apertium form is the standard spelling
привлече	V;PROG;PST;2;PL	o1	apertium form is the standard spelling
привлече	V;PROG;PST;2;SG	o1	apertium form is the standard spelling
привлече	V;PROG;PST;3;PL	o1	apertium form is the standard spelling
привлече	V;PROG;PST;3;SG	o1	apertium form is the standard spelling
придвижува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
придонесе	V.PTCP;PST;FEM;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
придонесе	V.PTCP;PST;MASC;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
придонесе	V.PTCP;PST;NEUT;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
придонесе	V.PTCP;PST;PL	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
придонесува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
придржи	V.PTCP;PST;FEM;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
придржи	V.PTCP;PST;MASC;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
придржи	V.PTCP;PST;NEUT;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
придржи	V.PTCP;PST;PASS	variant	passive participle -ан/-ен both attested
придржи	V.PTCP;PST;PL	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
придржи	V;PST;1;PL	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
придржи	V;PST;1;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
придржи	V;PST;2;PL	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
придржи	V;PST;2;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
придржи	V;PST;3;PL	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
придржи	V;PST;3;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
придружува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
признава	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
признае	V.PTCP;PST;PASS	variant	passive participle -ан/-ен both attested
признае	V;PROG;PST;3;PL	o2	j-stem: UniMorph correct (бројам-type), apertium over-regularizes
прикрие	V;PROG;PST;3;PL	o2	j-stem: UniMorph correct (бројам-type), apertium over-regularizes
прилагодува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
применува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
принудува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
припишува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
присвојува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
пристигнува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
присуствува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
причинува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
пријавува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
прогласува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
продава	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
продлабочува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
продолжува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
произведува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
промени	V.PTCP;PST;PASS	variant	passive participle -ан/-ен both attested
промовира	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
пронајде	V.PTCP;PST;MASC;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
прооди	V.PTCP;PST;FEM;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
прооди	V.PTCP;PST;MASC;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
прооди	V.PTCP;PST;NEUT;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
прооди	V.PTCP;PST;PL	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
прооди	V;PST;1;PL	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
прооди	V;PST;1;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
прооди	V;PST;2;PL	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
прооди	V;PST;2;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
прооди	V;PST;3;PL	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
прооди	V;PST;3;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
простува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
протекува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
протестира	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
проценува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
прочистува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
работи	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
разбира	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
разбранува	V;PST;2;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
